page_likes,page_checkin,daily_crowd,page_category,F1,F2,F3,F4,F5,F6,F7,F8,c1,c2,c3,c4,c5,base_time,post_length,share_count,promotion,h_target,post_day,basetime_day
220749,0,12792,18,1064,41.325,22,73.4742569463859,0,971,16.6602941176471,4,10,0,2,10,-2,51,46,2,0,24,saturday,monday
55975,53564,774,50,165,32.1779359430605,7,45.4439979634254,0,146,13.270462633452,1,15,12,3,15,9,25,130,1,0,24,tuesday,wednesday
595191,99,1561,16,717,38.3879040667362,21,71.1202458066235,0,377,13.1929092805005,3,55,14,41,48,-27,33,590,96,0,24,saturday,sunday
246883,15,10884,24,811,21.2665406427221,5,66.4504508294944,0,377,8.65595463137996,1,2,2,0,2,2,22,0,26,0,24,thursday,friday
2071999,156,150355,57,512,24.769801980198,12,51.5217821758395,0,484,13.7871287128713,5,61,61,0,61,61,24,40,3,0,24,tuesday,wednesday
236881,1172,36034,40,462,26.1860730593607,9,38.4770089403949,0,278,10.3926940639269,2,64,64,0,64,64,18,112,57,0,24,monday,tuesday
313452,1,86759,8,1399,203.12610619469,123.5,235.272840163217,0,1316,77.1460176991151,28,94,94,0,94,94,6,0,509,0,24,saturday,saturday
25247,393,41,24,127,19.4282051282051,15,17.8011444276002,0,110,8.28461538461539,3,16,16,0,16,16,14,44,3,0,24,wednesday,thursday
22665,0,15605,92,246,47.8640483383686,37,42.8146388472803,0,246,18.0377643504532,4,3,3,0,3,3,13,161,1,0,24,sunday,monday
300536,272,28053,24,883,53.0130208333333,38,78.5796592719212,0,604,20.9375,8,17,1,16,16,-15,44,201,1,0,24,sunday,monday
24410,0,698,28,103,5.05778894472362,2,9.7139581039815,0,44,1.95477386934673,0,4,0,1,4,-1,55,189,2,0,24,friday,sunday
300536,272,28053,24,883,53.0130208333333,38,78.5796592719212,0,604,20.9375,8,97,97,0,97,97,21,55,82,0,24,thursday,friday
209979,20,185,46,4,0.5625,0,0.85700982667835,0,3,0.190406976744186,0,1,0,1,1,-1,49,0,49,0,24,tuesday,thursday
